Developer Name, Repository Name, Number of Stars
niedev, RTranslator, 992
danny-avila, LibreChat, 14228
karpathy, micrograd, 8981
1Panel-dev, MaxKB, 7468
lobehub, lobe-chat, 33270
practical-tutorials, project-based-learning, 178459
4ian, GDevelop, 6913
dataease, dataease, 15998
omnivore-app, omnivore, 10662
codecrafters-io, build-your-own-x, 276340
TheAlgorithms, Rust, 21143
Anduin2017, HowToCook, 62050
janhq, jan, 20315
influxdata, telegraf, 13954
gitleaks, gitleaks, 16031
bleedline, aimoneyhunter, 10823
